Subject,Filename,Onset,Apex,Offset,AU,Expression type,Objective class
spNO.160,i,3403,3409,3418,4,Micro-expression,III
spNO.184,j,1917,1925,1976,4,Micro-expression,III
spNO.187,d,1802,1808,1852,4,Micro-expression,III
spNO.10,d,691,696,703,16+24,Micro-expression,VII
spNO.160,i,4160,4168,4175,17+4,Micro-expression,VII
spNO.176,k,8,12,27,14,Micro-expression,VII
spNO.160,i,1642,1649,1685,14,Micro-expression,VII
spNO.184,j,1397,1403,1428,4,Micro-expression,III
spNO.156,d,4680,4687,4694,4,Micro-expression,III
spNO.149,i,1848,1852,1861,25,Micro-expression,II
spNO.189,e,2301,2308,2323,9+14,Micro-expression,VII
spNO.142,g,1408,1414,1441,24+14,Micro-expression,VII
spNO.201,c,1698,1703,1722,2+1,Micro-expression,II
spNO.192,d,4736,4744,4793,1,Micro-expression,V
spNO.190,d,3629,3636,3659,38,Micro-expression,VII
spNO.214,j,1239,1242,1298,14,Micro-expression,VII
spNO.171,l,1625,1632,1638,4,Micro-expression,III
spNO.11,g,2001,2008,2026,24+14,Micro-expression,VII
spNO.181,l,1312,1321,1323,5,Micro-expression,II
spNO.3,e,2200,2204,2225,1,Micro-expression,V
spNO.196,c,2331,2336,2359,38,Micro-expression,VII
spNO.142,i,3283,3286,3292,17,Micro-expression,VII
spNO.206,f,31,37,46,1+2,Micro-expression,II
spNO.171,c,810,815,835,4,Micro-expression,III
spNO.183,m,133,137,148,1,Micro-expression,V
spNO.142,i,11,11,83,14,Micro-expression,VII
spNO.160,c,2283,2290,2298,4,Micro-expression,III
spNO.156,i,2132,2135,2176,4,Micro-expression,III
spNO.206,e,625,633,642,1+2,Micro-expression,II
spNO.206,m,244,252,260,2,Micro-expression,VII
spNO.40,j,1016,1023,1133,R14,Micro-expression,VII
spNO.153,m,422,430,445,4,Micro-expression,III
spNO.181,m,569,577,609,2+1,Micro-expression,II
spNO.215,j,1710,1717,1738,4,Micro-expression,III
spNO.189,g,990,996,1003,9+10,Micro-expression,VII
spNO.207,e,404,410,414,4,Micro-expression,III
spNO.148,d,2261,2266,2272,4,Micro-expression,III
spNO.210,h,1310,1317,1332,14,Micro-expression,VII
spNO.215,j,1374,1379,1397,1+4,Micro-expression,V
spNO.189,e,2334,2341,2365,14,Micro-expression,VII
spNO.189,g,40,44,48,9+4,Micro-expression,IV
spNO.189,k,25,31,35,9,Micro-expression,IV
spNO.153,j,7,8,113,28+14,Micro-expression,VII
spNO.216,l,2783,2790,2804,L7,Micro-expression,VII
spNO.142,c,33,39,51,4,Micro-expression,III
spNO.156,c,2183,2188,2193,4,Micro-expression,III
spNO.152,m,735,740,765,14,Micro-expression,VII
spNO.186,l,3677,3683,3699,4,Micro-expression,III
spNO.179,d,680,686,707,R2+R1,Micro-expression,II
spNO.169,c,149,156,188,1+2,Micro-expression,II
spNO.207,l,220,228,253,6+7,Micro-expression,VII
spNO.157,d,2506,2510,2515,4,Micro-expression,III
spNO.214,m,4,4,72,17,Micro-expression,VII
spNO.169,m,1589,1594,1616,6+4,Micro-expression,VII
spNO.160,g,440,448,457,4,Micro-expression,III
spNO.189,f,1387,1390,1394,9+4,Micro-expression,IV
spNO.179,b,7,7,57,1,Micro-expression,V
spNO.207,h,2479,2484,2503,4,Micro-expression,III
spNO.3,h,341,347,374,1,Micro-expression,V
spNO.180,b,78,84,94,4,Micro-expression,III
spNO.212,j,362,367,387,38,Micro-expression,VII
