Subject,Filename,Onset,Apex,Offset,AU,Expression type,Objective class
spNO.149,e,1500,1533,1653,14,Macro-expression,VII
spNO.206,d,2056,2063,2086,1+2,Micro-expression,II
spNO.207,l,2028,2035,2068,R14,Micro-expression,VII
spNO.10,l,213,222,265,24+14,Macro-expression,VII
spNO.208,j,1428,1442,1457,4,Macro-expression,III
spNO.160,i,442,534,624,14+4,Macro-expression,VII
spNO.217,m,552,573,598,7,Macro-expression,VII
spNO.160,g,2174,2219,2344,14,Macro-expression,VII
spNO.203,g,251,271,297,28+14,Macro-expression,VII
spNO.148,k,2681,2693,2744,12,Macro-expression,I
spNO.207,b,80,90,124,4,Macro-expression,III
spNO.17,m,25,141,227,2+1,Macro-expression,II
spNO.144,g,884,890,898,L2+L1,Micro-expression,II
spNO.140,f,1898,1917,1936,15,Macro-expression,V
spNO.4,h,17,26,40,4,Macro-expression,III
spNO.208,c,2359,2371,2539,4+R10,Macro-expression,VII
spNO.167,m,602,701,809,14+4,Macro-expression,VII
spNO.171,a,980,1002,1021,14,Macro-expression,VII
spNO.215,g,1000,1028,1101,1+2,Macro-expression,II
spNO.3,c,1635,1645,1698,L1+L2,Macro-expression,II
spNO.183,j,443,466,521,2+1,Macro-expression,II
spNO.147,c,1255,1419,1898,R10+4+28+14,Macro-expression,VII
spNO.4,c,28,63,2558,4,Macro-expression,III
spNO.174,l,1549,1630,1646,14,Macro-expression,VII
spNO.195,l,711,723,880,2+1,Macro-expression,II
spNO.190,d,4121,4126,4175,38,Micro-expression,VII
spNO.42,j,1730,1737,1758,1+2,Micro-expression,II
spNO.202,g,393,396,401,4,Micro-expression,III
spNO.202,l,3440,3462,3484,14,Macro-expression,VII
spNO.215,d,1925,1932,1957,24,Micro-expression,VII
spNO.209,i,3234,3248,3272,14,Macro-expression,VII
spNO.8,f,9,25,71,14,Macro-expression,VII
spNO.41,j,710,791,932,12,Macro-expression,I
spNO.217,g,1885,1896,1906,7,Macro-expression,VII
spNO.42,e,439,481,506,4,Macro-expression,III
spNO.12,k,1461,1500,1569,12,Macro-expression,I
spNO.184,c,1267,1283,1288,7,Macro-expression,VII
spNO.42,j,242,259,288,14,Macro-expression,VII
spNO.163,j,1275,1284,1306,38,Macro-expression,VII
spNO.170,g,2560,2575,2729,14,Macro-expression,VII
spNO.42,j,948,977,1010,14+12+24,Macro-expression,VII
spNO.209,d,3453,3477,3509,14,Macro-expression,VII
spNO.187,i,3994,3998,4015,4,Micro-expression,III
spNO.147,c,1942,1959,2360,10+4,Macro-expression,VII
spNO.162,c,2468,2501,2582,14,Macro-expression,VII
spNO.185,b,418,482,538,14+12,Macro-expression,VII
spNO.190,k,1454,1573,1633,24+12,Macro-expression,VII
spNO.2,l,1381,1408,1467,14,Macro-expression,VII
spNO.77,g,2367,2386,2401,38,Macro-expression,VII
spNO.163,d,4160,4200,4240,38,Macro-expression,VII
spNO.190,k,2187,2195,2203,38,Micro-expression,VII
spNO.152,e,2104,2130,2220,24+14,Macro-expression,VII
spNO.190,k,1085,1115,1164,38+R12,Macro-expression,VII
spNO.182,e,11,49,96,14+1,Macro-expression,VII
spNO.155,h,3112,3123,3211,14,Macro-expression,VII
spNO.12,d,710,722,770,24+18,Macro-expression,VII
spNO.216,g,1227,1256,1276,38,Macro-expression,VII
spNO.206,h,336,339,343,1,Micro-expression,V
spNO.217,b,400,413,448,14,Macro-expression,VII
spNO.215,f,200,247,301,14+1,Macro-expression,VII
spNO.215,j,160,170,233,2+4+1,Macro-expression,VI
spNO.190,j,1635,1674,1749,12+38,Macro-expression,VII
spNO.210,c,2082,2087,2124,14,Micro-expression,VII
spNO.160,e,1749,1752,1758,4,Micro-expression,III
spNO.183,m,420,711,2734,4,Macro-expression,III
spNO.147,g,2091,2168,2351,28+14,Macro-expression,VII
spNO.189,d,551,593,704,14+9+24+2+1,Macro-expression,VII
spNO.184,j,1675,1744,1798,12+4,Macro-expression,VII
spNO.156,j,790,801,847,R10,Macro-expression,IV
spNO.6,i,3381,3442,3485,4,Macro-expression,III
